;Station;PM10 µg/m³;Matin;Soir
0;La soie s;166;0;0
1;La soie m;145;0;0
2;Laurent Bonnevay s;112;0;0
3;Laurent Bonnevay m;155;0;0
4;Cusset s;106;0;0
5;Cusset m;146;0;0
6;Flachet s;103;0;0
7;Flachet m;155;0;0
8;Gratte-ciel s;88;0;0
9;Gratte-ciel m;150;0;0
10;République s;85;0;0
11;République m;147;0;0
12;Charpennes s;101;0;0
13;Charpennes m;152;0;0
14;Masséna s;89;0;0
15;Masséna m;74;0;0
16;Foch s;75;0;0
17;Foch m;75;0;0
18;Hôtel de ville s;99;0;0
19;Hôtel de ville m;83;0;0
20;Cordeliers s;85;0;0
21;Cordeliers m;93;0;0
22;Ampère s;69;0;0
23;Ampère m;77;0;0
24;Perrache s;74;0;0
25;Perrache m;96;0;0
