Station;PM10  µg/m³
Moyenne;93
Gare de Vaise s;74
Gare de Vaise m;104
Valmy s;130
Valmy m;129
Gorge de Loup s;105
Gorge de Loup m;58
Vieux Lyon s;164
Vieux Lyon m;96
Bellecour s;149
Bellecour m;56
Guillotière s;99
Guillotière m;69
Saxe-Gambetta s;57
Saxe-Gambetta m;91
Garibaldi s;110
Garibaldi m;130
Sans Souci s;59
Sans Souci m;85
Monplaisir lumière s;31
Monplaisir lumière m;113
Grange Blanche s;100
Grange Blanche m;145
Laënnec s;57
Laënnec m;96
Mermoz Pinel s;133
Mermoz Pinel m;108
Parilly s;57
Parilly m;79
Gare de Vénissieux s;59
Gare de Vénissieux m;45
