date heure;PM10;Lyon Gerland (source Atmo-Auvergne-Rhône-Alpes)
13-6 5h-6h;8.3;-
13-6 6h-7h;51.9;6
13-6 7h-8h;116.4;11
13-6 8h-9h;67;18
13-6 9h-10h;0;24
13-6 10h-11h;53.8;28
13-6 11h-12h;111.7;35
13-6 12h-13h;0;37
13-6 13h-14h;37.3;28
13-6 14h-15h;126.9;21
13-6 15h-16h;119;39
13-6 16h-17h;140.9;46
13-6 17h-18h;207.1;34
13-6 18h-19h;225.3;28
13-6 19h-20h;231.4;25
13-6 20h-21h;211.8;27
13-6 21h-22h;169.5;30
13-6 22h-23h;101.3;40
13-6 23h-24h;87.2;33
14-6 0h-1h;92;22
14-6 1h-2h;74.6;15
14-6 2h-3h;44.5;14
14-6 3h-4h;35.9;12
14-6 4h-5h;43.9;-
14-6 5h-6h;56.1;3
14-6 6h-7h;74.5;10
14-6 7h-8h;86.8;10
14-6 8h-9h;147.8;14
14-6 9h-10h;258.2;19
14-6 10h-11h;251.1;22
14-6 11h-12h;165.1;30
14-6 12h-13h;105;36
14-6 13h-14h;128.2;46
14-6 14h-15h;164.8;36
14-6 15h-16h;139.9;28
14-6 16h-17h;158.2;28
14-6 17h-18h;187.8;41
14-6 18h-19h;198.6;51
14-6 19h-20h;209.2;31
14-6 20h-21h;179.7;28
14-6 21h-22h;134.4;18
14-6 22h-23h;112.6;10
14-6 23h-24h;95.4;9
15-6 0h-1h;82.8;13
15-6 1h-2h;71;17
15-6 2h-3h;40.8;18
15-6 3h-4h;27.9;18
15-6 4h-5h;20.1;16
15-6 5h-6h;30;16
15-6 6h-7h;61.4;17
15-6 7h-8h;97.2;17
15-6 8h-9h;148.7;22
15-6 9h-10h;182.3;25
15-6 10h-11h;184.3;28
15-6 11h-12h;142.5;34
15-6 12h-13h;122.3;27
15-6 13h-14h;141.3;22
15-6 14h-15h;119.4;-
15-6 15h-16h;126.4;-
15-6 16h-17h;131.5;-
15-6 17h-18h;176.9;22
15-6 18h-19h;218.9;27
15-6 19h-20h;201.5;38
15-6 20h-21h;143.7;44
15-6 21h-22h;102.1;28
15-6 22h-23h;98.4;16
15-6 23h-24h;92.7;12
16-6 0h-1h;112.1;18
16-6 1h-2h;88.5;18
16-6 2h-3h;51.7;16
16-6 3h-4h;32.5;17
16-6 4h-5h;25.1;13
16-6 5h-6h;41;7
16-6 6h-7h;80.9;7
16-6 7h-8h;122.7;13
16-6 8h-9h;139.4;15
16-6 9h-10h;172.4;26
16-6 10h-11h;131;27
16-6 11h-12h;103.6;28
16-6 12h-13h;129.1;27
16-6 13h-14h;136.3;25
16-6 14h-15h;101.3;20
16-6 15h-16h;85;17
16-6 16h-17h;135.4;16
16-6 17h-18h;163.9;14
16-6 18h-19h;176.3;15
16-6 19h-20h;156.6;14
16-6 20h-21h;134.8;12
16-6 21h-22h;101.9;15
16-6 22h-23h;85;15
16-6 23h-24h;71.7;14
17-6 0h-1h;83.9;12
17-6 1h-2h;40.4;10
17-6 2h-3h;22.2;15
17-6 3h-4h;16.3;16
17-6 4h-5h;14;14
17-6 5h-6h;22.8;14
17-6 6h-7h;42.6;14
17-6 7h-8h;66;15
17-6 8h-9h;72;16
17-6 9h-10h;61.1;15
17-6 10h-11h;50.4;15
17-6 11h-12h;68.1;19
17-6 12h-13h;104.3;19
17-6 13h-14h;139;18
17-6 14h-15h;81.1;19
17-6 15h-16h;54.9;18
17-6 16h-18h;133.5;18
17-6 17h-18h;80.6;18
17-6 18h-19h;86.8;19
17-6 19h-20h;70.8;17
17-6 20h-21h;57.9;19
17-6 21h-22h;58.9;19
17-6 22h-23h;69.8;19
17-6 23h-24h;81.1;20
18-6 0h-1h;87.6;22
18-6 1h-2h;80;14
18-6 2h-3h;32.8;10
18-6 3h-4h;14.1;8
18-6 4h-5h;11.2;9
18-6 5h-6h;20.8;10
18-6 6h-7h;53.9;9
18-6 7h-8h;55;10
18-6 8h-9h;50.7;10
18-6 9h-10h;51.5;11
18-6 10h-11h;57;12
18-6 11h-12h;79.5;11
18-6 12h-13h;76.8;13
18-6 13h-14h;87.6;13
18-6 14h-15h;97.9;13
18-6 15h-16h;92.9;11
18-6 16h-17h;75.6;11
18-6 17h-18h;104.9;13
18-6 18h-19h;155;14
18-6 19h-20h;153;12
18-6 20h-21h;119.3;14
18-6 21h-22h;99.7;18
18-6 22h-23h;88.7;19
18-6 23h-24h;94.8;22
19-06 0h-1h;94.7;21
19-06 1h-2h;69.4;17
19-06 2h-3h;40.3;14
19-06 3h-4h;22.6;11
19-06 4h-5h;15.8;15
19-06 5h-6h ;34.1;18
19-06 6h-7h ;53.4;17
19-06 7h-8h ;87.8;17
19-06 8h-9h ;166.8;22
19-06 9h-10h ;192.8;25
19-06 10h-11h;211;28
19-06 11h-12h;84.2;24
19-06 12h-13h;97.6;31
19-06 13h-14h ;139.2;30
19-06 14h-15h;245.2;27
19-06 15h-16h;378.9;26
19-06 16h-17h ;146.4;26
19-06 17h-18h ;197.9;28
19-06 18h-19h;232.6;28
19-06 19h-20h ;222.8;24
19-06 20h-21h ;171.1;19
19-06 21h-22h;116.4;17
19-06 22h-23h;91.1;18
19-06 23h-24h;74.6;18
20-06 0h-1h;44.6;17
